State,County,Website,Population,Coordinates,Wikidata ID
Texas,Potter County,http://www.co.potter.tx.us/,121661,Point(-101.89 35.4),Q113293
Texas,Parker County,http://www.co.parker.tx.us/,121418,Point(-97.81 32.78),Q110779
Texas,Comal County,http://www.co.comal.tx.us,118480,Point(-98.28 29.81),Q109204
Texas,Tom Green County,http://www.co.tom-green.tx.us/,114954,Point(-100.46 31.41),Q113396
Texas,Kaufman County,http://www.co.kaufman.tx.us/,108568,Point(-96.28 32.6),Q110486
Texas,Bowie County,http://www.co.bowie.tx.us,93487,Point(-94.42 33.45),Q108612
Texas,Victoria County,http://www.victoriacountytx.org,90028,Point(-96.97 28.8),Q26699
Texas,Angelina County,http://www.angelinacounty.net,87441,Point(-94.61 31.26),Q108379
Texas,Hunt County,http://www.huntcounty.net/,87048,Point(-96.09 33.12),Q111729
Texas,Rockwall County,http://www.rockwallcountytexas.com,85245,Point(-96.41 32.89),Q111391
Texas,Orange County,http://www.co.orange.tx.us/,82957,Point(-93.89 30.13),Q109215
Texas,Henderson County,http://www.co.henderson.tx.us/,78675,Point(-95.85 32.21),Q112793
Texas,Liberty County,http://www.co.liberty.tx.us,76907,Point(-94.81 30.15),Q26719
Texas,Coryell County,http://www.coryellcounty.org,76192,Point(-97.8 31.39),Q109785
Texas,Bastrop County,http://www.co.bastrop.tx.us,75825,Point(-97.31 30.1),Q108436
Texas,Walker County,http://www.co.walker.tx.us,68817,Point(-95.57 30.74),Q26883
Texas,Harrison County,http://www.co.harrison.tx.us,66886,Point(-94.37 32.55),Q110904
Texas,San Patricio County,http://www.co.san-patricio.tx.us,66137,Point(-97.52 28.01),Q113132
Texas,Nacogdoches County,http://www.co.nacogdoches.tx.us,65330,Point(-94.61 31.61),Q156455
Texas,Starr County,http://www.co.starr.tx.us/,61963,Point(-98.73 26.57),Q26762
Texas,Wise County,http://www.co.wise.tx.us/,60939,Point(-97.65 33.22),Q111316
Texas,Anderson County,http://www.co.anderson.tx.us,57938,Point(-95.65 31.81),Q108391
Texas,Maverick County,http://www.co.maverick.tx.us,55932,Point(-100.32 28.75),Q113984
Texas,Hardin County,http://www.co.hardin.tx.us,55417,Point(-94.39 30.34),Q109270
Texas,Rusk County,http://www.co.rusk.tx.us,53622,Point(-94.76 32.11),Q110773
Texas,Hood County,http://www.co.hood.tx.us/,52905,Point(-97.83 32.43),Q485912
Texas,Van Zandt County,http://www.co.van-zandt.tx.us/,52481,Point(-95.84 32.56),Q113834
Texas,Cherokee County,http://www.co.cherokee.tx.us,50878,Point(-95.17 31.84),Q108842
Texas,Kerr County,http://www.co.kerr.tx.us,49953,Point(-99.35 30.06),Q26528
Texas,Lamar County,http://www.co.lamar.tx.us,49426,Point(-95.57 33.67),Q113313
Texas,Val Verde County,http://www.valverdecounty.org,48623,Point(-101.15 29.89),Q26730
Texas,Navarro County,http://www.co.navarro.tx.us/,48038,Point(-96.47 32.05),Q112603
Texas,Medina County,http://www.medinacountytexas.org,47399,Point(-99.11 29.35),Q110421
Texas,Atascosa County,http://www.co.atascosa.tx.us/,47093,Point(-98.53 28.89),Q108372
Texas,Polk County,http://www.co.polk.tx.us,45790,Point(-94.83 30.8),Q113375
Texas,Wilson County,http://www.co.wilson.tx.us,45418,Point(-98.09 29.17),Q156479
Texas,Waller County,http://www.co.waller.tx.us,45213,Point(-95.98 30.01),Q26701
Texas,Burnet County,http://www.burnetcountytexas.org/,43823,Point(-98.18 30.78),Q108784
Texas,Wood County,http://www.co.wood.tx.us,42306,Point(-95.38 32.78),Q112652
Texas,Jim Wells County,http://www.co.jim-wells.tx.us,41680,Point(-98.09 27.73),Q111753
Texas,Wharton County,http://www.co.wharton.tx.us/,41216,Point(-96.22 29.28),Q483916
Texas,Upshur County,http://www.countyofupshur.com/,39884,Point(-94.94 32.73),Q111782
Texas,Erath County,http://www.co.erath.tx.us/,39658,Point(-98.22 32.23),Q110500
Texas,Caldwell County,http://co.caldwell.tx.us,39232,Point(-97.61 29.84),Q26591
Texas,Cooke County,http://www.co.cooke.tx.us,38467,Point(-97.216666666 33.633333333),Q109636
Texas,Kendall County,http://www.co.kendall.tx.us,37766,Point(-98.7 29.95),Q115428
Texas,Brown County,http://www.browncountytx.org/,37749,Point(-99.0 31.77),Q109170
Texas,Chambers County,http://www.co.chambers.tx.us,36812,Point(-94.68 29.7),Q26598
Texas,Matagorda County,http://www.co.matagorda.tx.us,36592,Point(-96.0 28.78),Q485910
Texas,Howard County,http://www.co.howard.tx.us,36147,Point(-101.44 32.31),Q111380
Texas,Hale County,http://www.halecounty.org,35764,Point(-101.83 34.07),Q111622
Texas,Jasper County,http://www.co.jasper.tx.us,35649,Point(-94.03 30.74),Q110575
Texas,Hopkins County,http://www.hopkinscountytx.org,35565,Point(-95.56 33.15),Q112115
Texas,Hill County,http://www.co.hill.tx.us,34823,Point(-97.13 31.99),Q110384
Texas,Washington County,http://www.co.washington.tx.us,34147,Point(-96.41 30.21),Q156444
Texas,Fannin County,http://www.co.fannin.tx.us,33659,Point(-96.11 33.59),Q111593
Texas,Titus County,http://www.co.titus.tx.us,32581,Point(-94.97 33.22),Q113096
Texas,Bee County,http://co.bee.tx.us,32563,Point(-97.74 28.42),Q108397
Texas,Kleberg County,http://www.co.kleberg.tx.us/,32101,Point(-97.66 27.43),Q26527
Texas,Cass County,http://www.co.cass.tx.us,30331,Point(-94.35 33.07),Q109150
Texas,Austin County,http://www.austincounty.com,28847,Point(-96.28 29.88),Q108386
Texas,Palo Pinto County,http://www.co.palo-pinto.tx.us/,27889,Point(-98.31 32.75),Q484567
Texas,Grimes County,http://www.co.grimes.tx.us,27512,Point(-95.98 30.55),Q26616
Texas,Uvalde County,http://www.uvaldecounty.com,26926,Point(-99.76 29.35),Q26697
Texas,San Jacinto County,http://www.co.san-jacinto.tx.us,26856,Point(-95.16 30.58),Q111744
Texas,Shelby County,http://www.co.shelby.tx.us,25792,Point(-94.14 31.79),Q110389
Texas,Gillespie County,http://www.gillespiecounty.org,25357,Point(-98.95 30.31),Q27024
Texas,Fayette County,http://www.co.fayette.tx.us,24821,Point(-96.93 29.86),Q110755
